board,conn,conn_pin,chip_pad
KSD,JA1,P04,G14	
KSD,JA1,P14,C20     
KSD,JA1,P12,B20
KSD,JA1,P20,B19
KSD,JA1,P18,A20
KSD,JA1,P17,E17
KSD,JA1,P19,D18
KSD,JA1,P08,D19
KSD,JA1,P06,D20
KSD,JA1,P05,E18
KSD,JA1,P07,E19
KSD,JA1,P11,F16
KSD,JA1,P13,F17
KSD,JA2,P32,M19
KSD,JA2,P30,M20
KSD,JA2,P29,M17
KSD,JA2,P31,M18
KSD,JA2,P23,L19
KSD,JA2,P25,L20
KSD,JA2,P26,K19
KSD,JA2,P24,J19
KSD,JA2,P35,L16
KSD,JA2,P37,L17
KSD,JA2,P38,K17
KSD,JA2,P36,K18
KSD,JA1,P38,H16
KSD,JA1,P36,H17
KSD,JA1,P35,J18
KSD,JA1,P37,H18
KSD,JA1,P23,F19
KSD,JA1,P25,F20
KSD,JA1,P32,G17
KSD,JA1,P30,G18
KSD,JA1,P29,J20
KSD,JA1,P31,H20
KSD,JA1,P26,G19
KSD,JA1,P24,G20
KSD,JA2,P14,H15
KSD,JA2,P12,G15
KSD,JA2,P20,K14
KSD,JA2,P18,J14
KSD,JA2,P17,N15
KSD,JA2,P19,N16
KSD,JA2,P05,L14
KSD,JA2,P07,L15
KSD,JA2,P11,M14
KSD,JA2,P13,M15
KSD,JA2,P08,K16
KSD,JA2,P06,J16
KSD,JA2,P04,J15
KSD,JB2,P04,R19
KSD,JB1,P05,T11
KSD,JB1,P07,T10
KSD,JB1,P08,T12
KSD,JB1,P06,U12
KSD,JB1,P17,U13
KSD,JB1,P19,V13
KSD,JB1,P14,V12
KSD,JB1,P12,W13
KSD,JB1,P20,T14
KSD,JB1,P18,T15
KSD,JB1,P11,P14
KSD,JB1,P13,R14
KSD,JB1,P26,Y16
KSD,JB1,P24,Y17
KSD,JB1,P29,W14
KSD,JB1,P31,Y14
KSD,JB1,P23,T16
KSD,JB1,P25,U17
KSD,JB1,P32,V15
KSD,JB1,P30,W15
KSD,JB1,P35,U14
KSD,JB1,P37,U15
KSD,JB1,P38,U18
KSD,JB1,P36,U19
KSD,JB2,P38,N18
KSD,JB2,P36,P19
KSD,JB2,P35,N20
KSD,JB2,P37,P20
KSD,JB2,P23,T20
KSD,JB2,P25,U20
KSD,JB2,P29,V20
KSD,JB2,P31,W20
KSD,JB2,P32,Y18
KSD,JB2,P30,Y19
KSD,JB2,P26,V16
KSD,JB2,P24,W16
KSD,JB2,P14,R16
KSD,JB2,P12,R17
KSD,JB2,P11,T17
KSD,JB2,P13,R18
KSD,JB2,P17,V17
KSD,JB2,P19,V18
KSD,JB2,P20,W18
KSD,JB2,P18,W19
KSD,JB2,P05,N17
KSD,JB2,P07,P18
KSD,JB2,P08,P15
KSD,JB2,P06,P16
KSD,JB1,P04,T19
KSD,JC1,P04,V5
KSD,JC1,P05,U7
KSD,JC1,P07,V7
KSD,JC1,P08,T9
KSD,JC1,P06,U10
KSD,JC1,P38,Y7
KSD,JC1,P36,Y6
KSD,JC1,P35,Y9
KSD,JC1,P37,Y8
KSD,JC1,P23,V8
KSD,JC1,P25,W8
KSD,JC1,P32,W10
KSD,JC1,P30,W9
KSD,JC1,P29,U9
KSD,JC1,P31,U8
KSD,JC1,P26,W11
KSD,JC1,P24,Y11
KSD,JC1,P11,T5
KSD,JC1,P13,U5
KSD,JC1,P14,Y12
KSD,JC1,P12,Y13
KSD,JC1,P17,V11
KSD,JC1,P19,V10
KSD,JC1,P20,V6
KSD,JC1,P18,W6
